Model,Dataset,Hybrid_Name,Budget_Strategy,Dropout_Strategy,Constraint_Type,Constraint_Value,Performance_At_Timeout,Performance_At_Convergence,Performance_Gap,Performance_Retention,Relative_Performance_Gap,Budget_Utilization,Early_Stopping,Completed_Rounds
CNN,AbnormalHeartbeat,Standard_Linear,Standard,Linear,max_time_hours,24,0.200000,0.200000,0.000000,1.000000,0.000000,0.016763,False,6
CNN,AbnormalHeartbeat,Standard_Linear,Standard,Linear,max_time_hours,72,0.200000,0.200000,0.000000,1.000000,0.000000,0.005588,False,6
CNN,AbnormalHeartbeat,Standard_Standard,Standard,Standard,max_epochs,1000,0.800000,0.800000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Standard_Standard,Standard,Standard,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,4
CNN,AbnormalHeartbeat,Standard_Standard,Standard,Standard,max_epochs,5000,0.600000,0.600000,0.000000,1.000000,0.000000,0.684000,False,7
CNN,AbnormalHeartbeat,Standard_Standard,Standard,Standard,max_time_hours,10,0.600000,0.600000,0.000000,1.000000,0.000000,0.017875,False,7
CNN,AbnormalHeartbeat,Standard_Standard,Standard,Standard,max_time_hours,24,0.600000,0.600000,0.000000,1.000000,0.000000,0.007448,False,7
CNN,AbnormalHeartbeat,Standard_Standard,Standard,Standard,max_time_hours,72,0.600000,0.600000,0.000000,1.000000,0.000000,0.002483,False,7
CNN,AbnormalHeartbeat,Standard_Aggressive,Standard,Aggressive,max_epochs,1000,0.400000,0.400000,0.000000,1.000000,0.000000,1.000000,True,4
CNN,AbnormalHeartbeat,Standard_Aggressive,Standard,Aggressive,max_epochs,2000,0.200000,0.200000,0.000000,1.000000,0.000000,0.525000,False,4
CNN,AbnormalHeartbeat,Standard_Aggressive,Standard,Aggressive,max_epochs,5000,0.200000,0.200000,0.000000,1.000000,0.000000,0.210000,False,4
CNN,AbnormalHeartbeat,Standard_Aggressive,Standard,Aggressive,max_time_hours,10,0.200000,0.200000,0.000000,1.000000,0.000000,0.006097,False,4
CNN,AbnormalHeartbeat,Standard_Aggressive,Standard,Aggressive,max_time_hours,24,0.200000,0.200000,0.000000,1.000000,0.000000,0.002540,False,4
CNN,AbnormalHeartbeat,Standard_Aggressive,Standard,Aggressive,max_time_hours,72,0.200000,0.200000,0.000000,1.000000,0.000000,0.000847,False,4
CNN,AbnormalHeartbeat,Standard_Gradual,Standard,Gradual,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Standard_Gradual,Standard,Gradual,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Standard_Gradual,Standard,Gradual,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,5
CNN,AbnormalHeartbeat,Standard_Gradual,Standard,Gradual,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.107888,False,7
CNN,AbnormalHeartbeat,Standard_Gradual,Standard,Gradual,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.044953,False,7
CNN,AbnormalHeartbeat,Standard_Gradual,Standard,Gradual,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.014984,False,7
CNN,AbnormalHeartbeat,Standard_TwoStage,Standard,TwoStage,max_epochs,1000,0.800000,0.800000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Standard_TwoStage,Standard,TwoStage,max_epochs,2000,0.200000,0.200000,0.000000,1.000000,0.000000,1.000000,True,4
CNN,AbnormalHeartbeat,Standard_TwoStage,Standard,TwoStage,max_epochs,5000,0.200000,0.200000,0.000000,1.000000,0.000000,0.420000,False,4
CNN,AbnormalHeartbeat,Standard_TwoStage,Standard,TwoStage,max_time_hours,10,0.200000,0.200000,0.000000,1.000000,0.000000,0.011920,False,4
CNN,AbnormalHeartbeat,Standard_TwoStage,Standard,TwoStage,max_time_hours,24,0.200000,0.200000,0.000000,1.000000,0.000000,0.004967,False,4
CNN,AbnormalHeartbeat,Standard_TwoStage,Standard,TwoStage,max_time_hours,72,0.200000,0.200000,0.000000,1.000000,0.000000,0.001656,False,4
CNN,Adiac,Moderate_Linear,Moderate,Linear,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,Adiac,Moderate_Linear,Moderate,Linear,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,Adiac,Moderate_Linear,Moderate,Linear,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,4
CNN,Adiac,Moderate_Linear,Moderate,Linear,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.052102,False,4
CNN,Adiac,Moderate_Linear,Moderate,Linear,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.021709,False,4
CNN,Adiac,Moderate_Linear,Moderate,Linear,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.007236,False,4
CNN,Adiac,Moderate_Standard,Moderate,Standard,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,Adiac,Moderate_Standard,Moderate,Standard,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,Adiac,Moderate_Standard,Moderate,Standard,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,4
CNN,Adiac,Moderate_Standard,Moderate,Standard,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.024829,False,4
CNN,Adiac,Moderate_Standard,Moderate,Standard,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.010346,False,4
CNN,Adiac,Moderate_Standard,Moderate,Standard,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.003449,False,4
CNN,Adiac,Moderate_Aggressive,Moderate,Aggressive,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,Adiac,Moderate_Aggressive,Moderate,Aggressive,max_epochs,2000,0.600000,0.800000,0.200000,0.750000,0.250000,1.000000,True,4
CNN,Adiac,Moderate_Aggressive,Moderate,Aggressive,max_epochs,5000,0.800000,0.800000,0.000000,1.000000,0.000000,0.440000,False,4
CNN,Adiac,Moderate_Aggressive,Moderate,Aggressive,max_time_hours,10,0.800000,0.800000,0.000000,1.000000,0.000000,0.010965,False,4
CNN,Adiac,Moderate_Aggressive,Moderate,Aggressive,max_time_hours,24,0.800000,0.800000,0.000000,1.000000,0.000000,0.004569,False,4
CNN,Adiac,Moderate_Aggressive,Moderate,Aggressive,max_time_hours,72,0.800000,0.800000,0.000000,1.000000,0.000000,0.001523,False,4
