activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
gelu,0.4856416558663,6,0.0003980267884,122,4,max,1,BeetleFly,0.525,0.5,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.6,0.625
relu,0.1076816466943,5,0.0001292399631,94,2,max,1,BeetleFly,0.575,0.575,0.6,0.575,0.55,0.575,0.475,0.5,0.6,0.6,0.6,0.625,0.625,0.625,0.625,0.6,0.575,0.55,0.525,0.55
tanh,0.1249348308504,4,0.0002318401088,82,4,max,1,BeetleFly,0.5,0.575,0.575,0.65,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.65,0.65,0.65,0.625,0.625,0.625,0.625,0.625,0.625
gelu,0.4491025230086,6,0.0006814718561,103,2,average,1,BeetleFly,0.475,0.525,0.6,0.625,0.625,0.65,0.625,0.625,0.6,0.625,0.625,0.625,0.6,0.6,0.575,0.575,0.6,0.625,0.625,0.625
sigmoid,0.3032208880673,7,0.0037517386669,137,5,average,2,BeetleFly,0.625,0.625,0.625,0.625,0.625,0.625,0.575,0.575,0.55,0.525,0.525,0.525,0.525,0.55,0.625,0.675,0.625,0.525,0.55,0.55
sigmoid,0.152513089594,5,0.0014786844415,71,5,average,1,BeetleFly,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.5,0.475
relu,0.4640619121371,4,0.000135127403,247,3,max,2,BeetleFly,0.5,0.5,0.475,0.5,0.5,0.5,0.525,0.525,0.55,0.575,0.575,0.55,0.55,0.6,0.625,0.625,0.625,0.625,0.625,0.625
sigmoid,0.2219039938259,6,0.0042045294177,122,3,average,2,BeetleFly,0.525,0.525,0.5,0.575,0.525,0.55,0.55,0.525,0.575,0.6,0.625,0.625,0.6,0.55,0.575,0.575,0.55,0.55,0.575,0.6
sigmoid,0.1768238935335,3,0.0024845348245,66,1,max,1,BeetleFly,0.5,0.5,0.475,0.55,0.55,0.55,0.6,0.65,0.65,0.65,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.65,0.625,0.625
relu,0.4897950871797,7,0.0001276983221,71,1,max,1,BeetleFly,0.475,0.4,0.425,0.475,0.475,0.5,0.5,0.55,0.625,0.7,0.7,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.7,0.7
gelu,0.3485313162309,5,0.0003327357482,100,3,average,1,BeetleFly,0.525,0.525,0.525,0.525,0.525,0.525,0.55,0.575,0.575,0.55,0.6,0.65,0.625,0.6,0.625,0.675,0.675,0.675,0.675,0.65
elu,0.1737069664003,6,0.0001848366379,152,2,average,1,BeetleFly,0.45,0.525,0.6,0.6,0.675,0.675,0.7,0.7,0.725,0.725,0.725,0.725,0.7,0.725,0.75,0.75,0.75,0.725,0.75,0.725
elu,0.2927021642336,7,0.0006370709649,240,3,average,2,BeetleFly,0.475,0.5,0.575,0.6,0.6,0.625,0.6,0.575,0.6,0.6,0.625,0.625,0.6,0.6,0.6,0.6,0.6,0.6,0.625,0.625
relu,0.2473234240535,6,0.0043122453105,232,3,max,2,BeetleFly,0.55,0.425,0.575,0.55,0.55,0.575,0.575,0.525,0.575,0.575,0.575,0.575,0.575,0.575,0.6,0.625,0.625,0.625,0.625,0.6
tanh,0.1518792170759,7,0.0001843380416,238,3,max,2,BeetleFly,0.475,0.475,0.55,0.65,0.675,0.75,0.725,0.75,0.775,0.675,0.75,0.75,0.725,0.7,0.675,0.65,0.7,0.675,0.7,0.7
