Model,Dataset,Schedule,Total_Epochs,Total_Time_Hours,Total_Time_Days,Computational_Savings_%,Rounds_Completed
GRU,CatsDogs,Moderate,3600,0.38,0.02,64.00,4
GRU,CatsDogs,Aggressive,3100,0.33,0.01,69.00,3
GRU,CatsDogs,Conservative,12500,1.36,0.06,-25.00,5
GRU,CatsDogs,VeryAggressive,5600,0.60,0.02,44.00,3
GRU,CatsDogs,Standard,3420,0.36,0.01,65.80,7
GRU,ChlorineConcentration,Moderate,3600,0.26,0.01,64.00,4
GRU,ChlorineConcentration,Aggressive,3100,0.22,0.01,69.00,3
GRU,ChlorineConcentration,Conservative,12500,0.89,0.04,-25.00,5
GRU,ChlorineConcentration,VeryAggressive,5600,0.40,0.02,44.00,3
GRU,ChlorineConcentration,Standard,3420,0.24,0.01,65.80,7
GRU,CinCECGTorso,Moderate,3600,0.26,0.01,64.00,4
GRU,CinCECGTorso,Aggressive,3100,0.23,0.01,69.00,3
GRU,CinCECGTorso,Conservative,12500,0.93,0.04,-25.00,5
GRU,CinCECGTorso,VeryAggressive,5600,0.41,0.02,44.00,3
GRU,CinCECGTorso,Standard,3420,0.24,0.01,65.80,7
GRU,CounterMovementJump,Moderate,3600,0.86,0.04,64.00,4
GRU,CounterMovementJump,Aggressive,3100,0.74,0.03,69.00,3
GRU,CounterMovementJump,Conservative,12500,3.05,0.13,-25.00,5
GRU,CounterMovementJump,VeryAggressive,5600,1.34,0.06,44.00,3
GRU,CounterMovementJump,Standard,3420,0.80,0.03,65.80,7
GRU,DucksAndGeese,Moderate,3600,0.10,0.00,64.00,4
GRU,DucksAndGeese,Aggressive,3100,0.09,0.00,69.00,3
GRU,DucksAndGeese,Conservative,12500,0.37,0.02,-25.00,5
GRU,DucksAndGeese,VeryAggressive,5600,0.16,0.01,44.00,3
GRU,DucksAndGeese,Standard,3420,0.10,0.00,65.80,7
GRU,EigenWorms,Moderate,3600,0.28,0.01,64.00,4
GRU,EigenWorms,Aggressive,3100,0.25,0.01,69.00,3
GRU,EigenWorms,Conservative,12500,1.00,0.04,-25.00,5
GRU,EigenWorms,VeryAggressive,5600,0.44,0.02,44.00,3
GRU,EigenWorms,Standard,3420,0.26,0.01,65.80,7
GRU,FaultDetectionB,Moderate,3600,0.11,0.00,64.00,4
GRU,FaultDetectionB,Aggressive,3100,0.10,0.00,69.00,3
GRU,FaultDetectionB,Conservative,12500,0.40,0.02,-25.00,5
GRU,FaultDetectionB,VeryAggressive,5600,0.18,0.01,44.00,3
GRU,FaultDetectionB,Standard,3420,0.11,0.00,65.80,7
GRU,FiftyWords,Moderate,3600,0.19,0.01,64.00,4
GRU,FiftyWords,Aggressive,3100,0.16,0.01,69.00,3
GRU,FiftyWords,Conservative,12500,0.65,0.03,-25.00,5
GRU,FiftyWords,VeryAggressive,5600,0.29,0.01,44.00,3
GRU,FiftyWords,Standard,3420,0.18,0.01,65.80,7
GRU,HouseTwenty,Moderate,3600,0.07,0.00,64.00,4
GRU,HouseTwenty,Aggressive,3100,0.06,0.00,69.00,3
GRU,HouseTwenty,Conservative,12500,0.24,0.01,-25.00,5
GRU,HouseTwenty,VeryAggressive,5600,0.10,0.00,44.00,3
GRU,HouseTwenty,Standard,3420,0.06,0.00,65.80,7
GRU,KeplerLightCurves,Moderate,3600,0.93,0.04,64.00,4
GRU,KeplerLightCurves,Aggressive,3100,0.80,0.03,69.00,3
GRU,KeplerLightCurves,Conservative,12500,3.27,0.14,-25.00,5
GRU,KeplerLightCurves,VeryAggressive,5600,1.44,0.06,44.00,3
GRU,KeplerLightCurves,Standard,3420,0.85,0.04,65.80,7
GRU,RightWhaleCalls,Moderate,3600,1.13,0.05,64.00,4
GRU,RightWhaleCalls,Aggressive,3100,0.97,0.04,69.00,3
GRU,RightWhaleCalls,Conservative,12500,3.90,0.16,-25.00,5
GRU,RightWhaleCalls,VeryAggressive,5600,1.74,0.07,44.00,3
GRU,RightWhaleCalls,Standard,3420,1.07,0.04,65.80,7
GRU,classification_ozone,Moderate,3600,0.05,0.00,64.00,4
GRU,classification_ozone,Aggressive,3100,0.04,0.00,69.00,3
GRU,classification_ozone,Conservative,12500,0.17,0.01,-25.00,5
GRU,classification_ozone,VeryAggressive,5600,0.07,0.00,44.00,3
GRU,classification_ozone,Standard,3420,0.05,0.00,65.80,7
LSTM,AbnormalHeartbeat,Moderate,3600,1.68,0.07,64.00,4
LSTM,AbnormalHeartbeat,Aggressive,3100,1.45,0.06,69.00,3
LSTM,AbnormalHeartbeat,Conservative,12500,5.79,0.24,-25.00,5
LSTM,AbnormalHeartbeat,VeryAggressive,5600,2.66,0.11,44.00,3
LSTM,AbnormalHeartbeat,Standard,3420,1.56,0.07,65.80,7
LSTM,Adiac,Moderate,3600,0.20,0.01,64.00,4
LSTM,Adiac,Aggressive,3100,0.17,0.01,69.00,3
LSTM,Adiac,Conservative,12500,0.67,0.03,-25.00,5
LSTM,Adiac,VeryAggressive,5600,0.29,0.01,44.00,3
LSTM,Adiac,Standard,3420,0.19,0.01,65.80,7
LSTM,ArrowHead,Moderate,3600,0.07,0.00,64.00,4
LSTM,ArrowHead,Aggressive,3100,0.06,0.00,69.00,3
LSTM,ArrowHead,Conservative,12500,0.25,0.01,-25.00,5
LSTM,ArrowHead,VeryAggressive,5600,0.11,0.00,44.00,3
LSTM,ArrowHead,Standard,3420,0.07,0.00,65.80,7
LSTM,Beef,Moderate,3600,0.34,0.01,64.00,4
LSTM,Beef,Aggressive,3100,0.29,0.01,69.00,3
LSTM,Beef,Conservative,12500,0.67,0.03,-25.00,5
LSTM,Beef,VeryAggressive,5600,0.23,0.01,44.00,3
LSTM,Beef,Standard,3420,0.38,0.02,65.80,7
LSTM,BeetleFly,Moderate,3600,0.05,0.00,64.00,4
LSTM,BeetleFly,Aggressive,3100,0.05,0.00,69.00,3
LSTM,BeetleFly,Conservative,12500,0.19,0.01,-25.00,5
LSTM,BeetleFly,VeryAggressive,5600,0.09,0.00,44.00,3
LSTM,BeetleFly,Standard,3420,0.05,0.00,65.80,7
LSTM,BinaryHeartbeat,Moderate,3600,2.34,0.10,64.00,4
LSTM,BinaryHeartbeat,Aggressive,3100,2.03,0.08,69.00,3
LSTM,BinaryHeartbeat,Conservative,12500,8.06,0.34,-25.00,5
LSTM,BinaryHeartbeat,VeryAggressive,5600,3.74,0.16,44.00,3
LSTM,BinaryHeartbeat,Standard,3420,2.18,0.09,65.80,7
LSTM,BirdChicken,Moderate,3600,0.06,0.00,64.00,4
LSTM,BirdChicken,Aggressive,3100,0.05,0.00,69.00,3
LSTM,BirdChicken,Conservative,12500,0.19,0.01,-25.00,5
LSTM,BirdChicken,VeryAggressive,5600,0.09,0.00,44.00,3
LSTM,BirdChicken,Standard,3420,0.06,0.00,65.80,7
LSTM,CBF,Moderate,3600,0.20,0.01,64.00,4
LSTM,CBF,Aggressive,3100,0.17,0.01,69.00,3
LSTM,CBF,Conservative,12500,0.67,0.03,-25.00,5
LSTM,CBF,VeryAggressive,5600,0.29,0.01,44.00,3
LSTM,CBF,Standard,3420,0.19,0.01,65.80,7
LSTM,Car,Moderate,3600,0.09,0.00,64.00,4
LSTM,Car,Aggressive,3100,0.08,0.00,69.00,3
LSTM,Car,Conservative,12500,0.32,0.01,-25.00,5
LSTM,Car,VeryAggressive,5600,0.15,0.01,44.00,3
LSTM,Car,Standard,3420,0.09,0.00,65.80,7
