Model,Dataset,Regressor,R2 ± std,RMSE ± std,MAE ± std
LSTM,FaultDetectionB,XGBoost,0.60 ± 0.16,0.054 ± 0.011,0.043 ± 0.009
LSTM,FiftyWords,LinearRegression,0.42 ± 0.13,0.093 ± 0.009,0.076 ± 0.009
LSTM,FiftyWords,RandomForest,0.61 ± 0.18,0.075 ± 0.012,0.061 ± 0.010
LSTM,FiftyWords,XGBoost,0.44 ± 0.24,0.089 ± 0.015,0.071 ± 0.013
LSTM,HouseTwenty,LinearRegression,0.40 ± 0.21,0.032 ± 0.005,0.027 ± 0.005
LSTM,HouseTwenty,RandomForest,0.53 ± 0.27,0.028 ± 0.005,0.022 ± 0.004
LSTM,HouseTwenty,XGBoost,0.32 ± 0.47,0.033 ± 0.008,0.026 ± 0.007
LSTM,KeplerLightCurves,LinearRegression,0.23 ± 0.34,0.015 ± 0.003,0.012 ± 0.002
LSTM,KeplerLightCurves,RandomForest,0.20 ± 0.90,0.014 ± 0.005,0.010 ± 0.003
LSTM,KeplerLightCurves,XGBoost,-0.12 ± 0.90,0.017 ± 0.006,0.012 ± 0.004
LSTM,RightWhaleCalls,LinearRegression,0.75 ± 0.14,0.007 ± 0.002,0.006 ± 0.001
LSTM,RightWhaleCalls,RandomForest,0.83 ± 0.10,0.006 ± 0.002,0.004 ± 0.001
LSTM,RightWhaleCalls,XGBoost,0.81 ± 0.12,0.006 ± 0.002,0.005 ± 0.002
LSTM,classification_ozone,LinearRegression,-0.18 ± 0.34,0.009 ± 0.001,0.008 ± 0.001
LSTM,classification_ozone,RandomForest,-0.44 ± 0.40,0.010 ± 0.001,0.009 ± 0.001
LSTM,classification_ozone,XGBoost,-0.83 ± 0.75,0.011 ± 0.001,0.010 ± 0.001
Transformer,AbnormalHeartbeat,LinearRegression,-0.13 ± 0.41,0.006 ± 0.001,0.004 ± 0.001
Transformer,AbnormalHeartbeat,RandomForest,-0.21 ± 0.39,0.006 ± 0.001,0.005 ± 0.001
Transformer,AbnormalHeartbeat,XGBoost,-0.67 ± 0.69,0.007 ± 0.001,0.005 ± 0.001
Transformer,Adiac,LinearRegression,0.49 ± 0.17,0.033 ± 0.006,0.026 ± 0.004
Transformer,Adiac,RandomForest,0.66 ± 0.15,0.026 ± 0.005,0.020 ± 0.003
Transformer,Adiac,XGBoost,0.59 ± 0.22,0.028 ± 0.005,0.021 ± 0.003
Transformer,ArrowHead,LinearRegression,0.40 ± 0.18,0.043 ± 0.007,0.035 ± 0.006
Transformer,ArrowHead,RandomForest,0.60 ± 0.12,0.035 ± 0.006,0.027 ± 0.005
Transformer,ArrowHead,XGBoost,0.56 ± 0.21,0.036 ± 0.008,0.027 ± 0.006
Transformer,Beef,LinearRegression,0.20 ± 0.26,0.051 ± 0.004,0.043 ± 0.004
Transformer,Beef,RandomForest,0.58 ± 0.22,0.037 ± 0.007,0.029 ± 0.006
