Model,Dataset,Config_ID,Model_Size_Parameters,Performance_Val_Accuracy_Avg,Num_Seeds_Averaged,Is_Pareto_Optimal
CNN,BeetleFly,33,3476,0.7950,5,No
CNN,BeetleFly,11,57682,0.7600,5,No
CNN,BeetleFly,29,70402,0.6750,5,No
CNN,BeetleFly,16,65270,0.7900,5,No
CNN,BeetleFly,20,31257,0.7550,5,No
CNN,BeetleFly,18,17778,0.7650,5,No
CNN,BeetleFly,27,300744,0.7700,5,No
CNN,BeetleFly,73,188480,0.7600,5,No
CNN,BeetleFly,87,136857,0.7700,5,No
CNN,BeetleFly,80,226732,0.7550,5,No
CNN,BeetleFly,74,94352,0.8050,5,No
CNN,BeetleFly,42,39811,0.7700,5,No
CNN,BeetleFly,89,2050,0.7700,5,No
CNN,BeetleFly,45,54751,0.7450,5,No
CNN,BeetleFly,19,101138,0.7700,5,No
CNN,BeetleFly,26,151412,0.7750,5,No
CNN,BeetleFly,21,3533,0.7150,5,No
CNN,BeetleFly,28,13652,0.8250,5,No
CNN,BeetleFly,17,2386,0.7800,5,No
CNN,BeetleFly,10,2458,0.7700,5,No
CNN,BeetleFly,44,9317,0.7600,5,No
CNN,BeetleFly,43,148946,0.7850,5,No
CNN,BeetleFly,88,184494,0.7550,5,No
CNN,BeetleFly,75,264862,0.6150,5,No
CNN,BeetleFly,81,109288,0.7850,5,No
CNN,BeetleFly,86,683490,0.6100,5,No
CNN,BeetleFly,72,85103,0.7750,5,No
CNN,BinaryHeartbeat,36,450227,0.6541,5,No
CNN,BinaryHeartbeat,9,191842,0.6756,5,No
CNN,BinaryHeartbeat,31,953707,0.6537,5,No
CNN,BinaryHeartbeat,7,7790,0.6351,5,No
CNN,BinaryHeartbeat,38,1029527,0.5268,5,No
CNN,BinaryHeartbeat,54,450137,0.6839,5,No
CNN,BinaryHeartbeat,98,197762,0.7029,5,No
CNN,BinaryHeartbeat,53,1048416,0.5298,5,No
CNN,BinaryHeartbeat,91,714485,0.5337,5,No
CNN,BinaryHeartbeat,65,241282,0.6795,5,No
CNN,BinaryHeartbeat,62,141506,0.7166,5,No
CNN,BinaryHeartbeat,96,306338,0.5917,5,No
CNN,BinaryHeartbeat,1,313916,0.6498,5,No
CNN,BinaryHeartbeat,39,439486,0.6863,5,No
CNN,BinaryHeartbeat,6,883052,0.6346,5,No
CNN,BinaryHeartbeat,30,168522,0.7244,5,No
CNN,BinaryHeartbeat,8,331774,0.5361,5,No
CNN,BinaryHeartbeat,37,210890,0.7239,5,No
CNN,BinaryHeartbeat,97,603007,0.5459,5,No
CNN,BinaryHeartbeat,63,38936,0.7249,5,No
CNN,BinaryHeartbeat,64,465154,0.6980,5,No
CNN,BinaryHeartbeat,90,176420,0.7268,5,No
CNN,BinaryHeartbeat,99,29948,0.6980,5,No
CNN,BinaryHeartbeat,52,955430,0.6215,5,No
CNN,BinaryHeartbeat,55,191438,0.6937,5,No
CNN,BinaryHeartbeat,83,1094452,0.6059,5,No
CNN,BinaryHeartbeat,77,602682,0.6420,5,No
CNN,BinaryHeartbeat,48,425522,0.5605,5,No
CNN,BinaryHeartbeat,70,932234,0.6678,5,No
CNN,BinaryHeartbeat,84,159512,0.6849,5,No
CNN,BinaryHeartbeat,46,1166112,0.6951,5,No
CNN,BinaryHeartbeat,79,1046620,0.5546,5,No
CNN,BinaryHeartbeat,41,1488752,0.5995,5,No
CNN,BinaryHeartbeat,15,6697,0.6668,5,No
CNN,BinaryHeartbeat,12,458760,0.5210,5,No
CNN,BinaryHeartbeat,24,12130,0.7107,5,No
CNN,BinaryHeartbeat,23,333758,0.6078,5,No
CNN,BinaryHeartbeat,40,109822,0.6649,5,No
