activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
gelu,0.1889135386123,626,188,0.0003578368895,4,6,mean,CinCECGTorso,0.325,0.225,0.2625,0.2,0.2875,0.2125,0.2625,0.275,0.3,0.2875,0.2625,0.2625,0.325,0.375,0.3375,0.3375,0.3,0.3875,0.375,0.375
gelu,0.2945044166213,361,447,0.0007998317165,7,5,max,CinCECGTorso,0.2,0.2375,0.275,0.275,0.2875,0.2625,0.3,0.35,0.375,0.3375,0.3625,0.3625,0.2625,0.35,0.35,0.35,0.35,0.425,0.3375,0.3875
relu,0.0917823971863,424,72,0.0004065970405,5,2,mean,CinCECGTorso,0.2,0.25,0.3125,0.3,0.3125,0.325,0.3125,0.35,0.35,0.325,0.3625,0.3375,0.3,0.3125,0.3,0.3625,0.4,0.3375,0.35,0.35
gelu,0.1889316915496,510,232,4.15704589e-05,4,2,max,CinCECGTorso,0.2875,0.2625,0.2625,0.1875,0.275,0.3,0.275,0.2625,0.2625,0.2625,0.2625,0.275,0.275,0.275,0.275,0.275,0.2875,0.3,0.3,0.3
gelu,0.079555236386,329,213,1.07331372e-05,2,4,max,CinCECGTorso,0.3625,0.3625,0.35,0.325,0.25,0.1875,0.2375,0.225,0.25,0.225,0.2375,0.225,0.2,0.2125,0.225,0.2375,0.25,0.25,0.25,0.2375
relu,0.1636708476067,274,163,1.61686888e-05,7,4,mean,CinCECGTorso,0.175,0.2375,0.275,0.2625,0.2625,0.225,0.2375,0.3,0.2625,0.2375,0.25,0.2125,0.225,0.2375,0.2375,0.2375,0.2375,0.225,0.225,0.2375
relu,0.1979026869642,787,127,9.59158668e-05,3,2,mean,CinCECGTorso,0.2875,0.25,0.2125,0.3125,0.275,0.325,0.25,0.275,0.2875,0.3,0.275,0.2875,0.35,0.3,0.275,0.25,0.2625,0.2875,0.3,0.3125
gelu,0.0006813406218,655,423,0.0001494707036,7,2,max,CinCECGTorso,0.2125,0.35,0.3125,0.3375,0.3,0.325,0.4125,0.3,0.3375,0.375,0.4,0.35,0.3,0.3625,0.3375,0.4,0.3875,0.375,0.375,0.4125
relu,0.2018844291337,828,311,0.0001674501561,5,5,mean,CinCECGTorso,0.3125,0.175,0.2875,0.3,0.325,0.2375,0.2125,0.2,0.3625,0.225,0.2125,0.225,0.2375,0.3,0.25,0.3,0.3,0.3125,0.325,0.325
gelu,0.1369547814532,308,226,0.0001146962079,2,5,mean,CinCECGTorso,0.2375,0.1875,0.2875,0.275,0.2375,0.3,0.25,0.3125,0.2375,0.2625,0.375,0.2375,0.2875,0.3625,0.325,0.3625,0.3875,0.3625,0.35,0.3375
gelu,0.2010700786861,525,133,6.61386273e-05,6,4,mean,CinCECGTorso,0.25,0.25,0.275,0.275,0.2875,0.2875,0.275,0.225,0.3,0.3,0.275,0.2625,0.275,0.3,0.275,0.275,0.275,0.25,0.275,0.2875
gelu,0.2343066462444,693,382,9.45319945e-05,2,4,mean,CinCECGTorso,0.2,0.2,0.3,0.175,0.275,0.275,0.2,0.2625,0.25,0.325,0.2625,0.2,0.3,0.325,0.3,0.2875,0.375,0.325,0.3,0.35
relu,0.0345486166769,269,212,0.0008103677994,6,3,max,CinCECGTorso,0.2625,0.1875,0.4,0.2,0.4125,0.1875,0.375,0.35,0.3875,0.3625,0.4375,0.3875,0.425,0.4625,0.4375,0.475,0.475,0.475,0.5375,0.425
gelu,0.2932850127676,283,334,5.68607921e-05,3,4,mean,CinCECGTorso,0.2875,0.1625,0.3125,0.3625,0.2125,0.2125,0.2625,0.2875,0.2625,0.1875,0.1625,0.2,0.2875,0.2625,0.275,0.3,0.3,0.3,0.325,0.2875
relu,0.2306701065085,575,72,0.0007128112009,8,3,max,CinCECGTorso,0.2875,0.3875,0.2875,0.3125,0.225,0.25,0.3125,0.3375,0.2125,0.3125,0.2625,0.275,0.2625,0.275,0.3125,0.3375,0.3375,0.375,0.4,0.375
gelu,0.0403092744102,422,132,0.0007862395322,8,1,max,CinCECGTorso,0.3,0.225,0.2875,0.275,0.325,0.3875,0.2375,0.3625,0.375,0.25,0.375,0.3,0.3125,0.4,0.35,0.275,0.4125,0.3875,0.3125,0.3
